Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
ISDR,Issuer Direct Corporation Common Stock,$25.61,-2.99,-10.455%,97088483.00,United States,,29881,Technology,EDP Services
ISR,IsoRay Inc. Common Stock (DE),$0.3766,-0.0001,-0.027%,53445289.00,United States,,374400,Health Care,Medical/Dental Instruments
ITP,IT Tech Packaging Inc. Common Stock,$0.204,-0.0025,-1.211%,20206180.00,China,,248936,Basic Industries,Paper
ITRG,Integra Resources Corp. Common Shares,$2.01,0.11,5.789%,124835683.00,,,57140,,
JOB,GEE Group Inc. Common Stock,$0.5372,0.0222,4.311%,61294764.00,United States,,380922,Technology,Diversified Commercial Services
KIQ,Kelso Technologies Inc Ordinary Shares,$0.4926,-0.0074,-1.48%,26733444.00,Canada,,73691,,
KULR,KULR Technology Group Inc. Common Stock,$2.23,0.01,0.45%,233563746.00,United States,,415589,,
LCTX,Lineage Cell Therapeutics Inc. Common Stock,$1.46,0.04,2.817%,218972767.00,United States,,600866,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
LEU,Centrus Energy Corp. Class A Common Stock,$42.15,2.57,6.493%,590829321.00,United States,2014,263795,,
LGL,LGL Group Inc. (The) Common Stock,$10.74,0.24,2.286%,57026350.00,United States,,2280,Capital Goods,Industrial Machinery/Components
LNG,Cheniere Energy Inc. Common Stock,$114.05,-0.84,-0.731%,28921763065.00,United States,,1378082,Public Utilities,Oil/Gas Transmission
LODE,Comstock Mining Inc. Common Stock,$1.50,0.07,4.895%,103195664.00,United States,,345792,Finance,Real Estate
LOV,Spark Networks Inc. American Depositary Shares (each representing one-tenth of an Ordinary Share),$2.24,-0.06,-2.609%,58574074.00,United States,2017,57649,Miscellaneous,Other Consumer Services
LSF,Laird Superfood Inc. Common Stock,$6.81,-0.40,-5.548%,61658939.00,,2020,87522,Consumer Non-Durables,Specialty Foods
LXFR,Luxfer Holdings PLC Ordinary Shares,$16.45,0.07,0.427%,455745901.00,United Kingdom,2012,214906,Capital Goods,Metal Fabrications
MAG,MAG Silver Corporation Ordinary Shares,$13.74,0.01,0.073%,1342731222.00,Canada,,269768,,
MHH,Mastech Digital Inc Common Stock,$19.70,1.03,5.517%,225328856.00,United States,,13626,Consumer Services,Professional Services
MIMO,Airspan Networks Holdings Inc. Common Stock,$3.74,-0.10,-2.604%,269371394.00,,2020,44448,Consumer Services,Telecommunications Equipment
MITQ,Moving iMage Technologies Inc. Common Stock,$1.22,-0.02,-1.613%,12976259.00,United States,2021,30342,Capital Goods,Telecommunications Equipment
MLSS,Milestone Scientific Inc. Common Stock,$1.22,-0.05,-3.937%,82772035.00,United States,2015,297740,Health Care,Industrial Specialties
MMX,Maverix Metals Inc. Common Shares,$4.08,-0.12,-2.857%,595049048.00,,,442936,,
MSN,Emerson Radio Corporation Common Stock,$0.753,-0.0007,-0.093%,15845117.00,United States,,9529,Consumer Non-Durables,Consumer Electronics/Appliances
MTA,Metalla Royalty & Streaming Ltd. Common Shares,$6.20,0.02,0.324%,272437635.00,,,125420,,
MTNB,Matinas Biopharma Holdings Inc. Common Stock,$0.71,-0.0348,-4.672%,153535745.00,United States,2017,484097,Health Care,Biotechnology: Pharmaceutical Preparations
MXC,Mexco Energy Corporation Common Stock,$10.805,0.305,2.905%,22924601.00,United States,,83251,Energy,Oil & Gas Production
MYO,Myomo Inc. Common Stock,$7.57,-0.03,-0.395%,51928709.00,United States,2017,8249,Health Care,Industrial Specialties
NAK,Northern Dynasty Minerals Ltd. Common Stock,$0.3048,-0.0052,-1.677%,161465297.00,Canada,,3796146,,
NAVB,Navidea Biopharmaceuticals Inc. Common Stock,$0.72,-0.218,-23.241%,21735714.00,United States,,79938,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
NBH,Neuberger Berman Municipal Fund Inc. Common Stock,$14.10,-0.18,-1.261%,265573345.00,United States,2002,73003,Finance,Finance/Investors Services
NBO,Neuberger Berman New York Municipal Fund Inc. Common Stock,$12.22,0.03,0.246%,62046036.00,United States,2002,12329,Finance,Finance/Investors Services
NBW,Neuberger Berman California Municipal Fund Inc Common Stock,$13.20,-0.03,-0.227%,73273781.00,United States,2002,17019,Finance,Finance/Investors Services
NBY,NovaBay Pharmaceuticals Inc. Common Stock,$0.3302,0.0182,5.833%,14845252.00,United States,2007,372337,Health Care,Biotechnology: Pharmaceutical Preparations
NEN,New England Realty Associates Limited Partnership Class A Depositary Receipts Evidencing Units of Limited Partnership,$82.4442,0.00,0.00%,301143600.00,United States,,154,Consumer Services,Building operators
NES,Nuverra Environmental Solutions Inc. Common Stock,$2.32,0.42,22.105%,37606321.00,United States,2017,48276,Public Utilities,Water Supply
NEWP,New Pacific Metals Corp. Common Shares,$2.65,0.03,1.145%,412233367.00,,2021,110746,,
NFGC,New Found Gold Corp Common Shares,$5.97,0.06,1.015%,980228580.00,,2021,39134,,
NG,Novagold Resources Inc.,$6.22,-0.05,-0.797%,2070774262.00,Canada,,1071829,,
NGD,New Gold Inc.,$1.58,0.02,1.282%,1075822000.00,Canada,,6280869,,
NHC,National HealthCare Corporation Common Stock,$64.11,0.10,0.156%,988790327.00,United States,,28982,Health Care,Hospital/Nursing Management
NHS,Neuberger Berman High Yield Strategies Fund,$11.18,-0.07,-0.622%,163939070.00,United States,,57179,Finance,Trusts Except Educational Religious and Charitable
NILE,BitNile Holdings Inc. Common Stock,$0.91,0.0446,5.154%,76741253.00,United States,,685708,Finance,Investment Bankers/Brokers/Service
NML,Neuberger Berman MLP and Energy Income Fund Inc. Common Stock,$5.73,0.04,0.703%,324655657.00,,2013,142519,Finance,Finance/Investors Services
NNVC,NanoViricides Inc. Common Stock,$2.42,0.09,3.863%,27890500.00,United States,,45656,Health Care,Biotechnology: Pharmaceutical Preparations
NOG,Northern Oil and Gas Inc. Common Stock,$24.56,0.08,0.327%,1895911386.00,United States,,1138646,Energy,Oil & Gas Production
NRO,Neuberger Berman Real Estate Securities Income Fund Inc. Neuberger Berman Real Estate Securities Income Fund Inc.,$4.81,-0.06,-1.232%,228197530.00,United States,2003,166202,Finance,Finance/Investors Services
NTIP,Network-1 Technologies Inc. Common Stock,$2.71,-0.04,-1.455%,65309995.00,United States,,11078,,
NXE,Nexgen Energy Ltd. Common Shares,$4.11,0.15,3.788%,1959694916.00,,,1671374,,
OBE,Obsidian Energy Ltd. Common Shares,$7.27,-0.02,-0.274%,586974282.00,,,348525,,
OGEN,Oragenics Inc. Common Stock,$0.42,0.0149,3.678%,48885819.00,United States,,443245,Health Care,Biotechnology: Pharmaceutical Preparations
OPTT,Ocean Power Technologies Inc. Common Stock,$1.07,0.02,1.905%,59784295.00,United States,2007,301721,Capital Goods,Industrial Machinery/Components
ORLA,Orla Mining Ltd. Common Shares,$3.25,-0.025,-0.763%,804699851.00,,2020,86593,,
OZ,Belpointe PREP LLC Class A Units,$92.27,-0.47,-0.507%,0.00,,,7971,,
PCG^A,Pacific Gas & Electric Co. 6% Preferred Stock,$28.45,-0.05,-0.175%,,United States,,73280,,
PCG^B,Pacific Gas & Electric Co. 5 1/2% Preferred Stock,$26.40,-0.10,-0.377%,,United States,,18245,,
PCG^C,Pacific Gas & Electric Co. 5% 1st Preferred Stock,$25.40,-0.10,-0.392%,,United States,,420,,
PCG^D,Pacific Gas & Electric Co. 5% 1st  Red. Preferred Stock,$24.45,-0.10,-0.407%,,United States,,1414,,
PCG^E,Pacific Gas & Electric Co. 5% 1st A Preferred Stock,$24.6625,0.00,0.00%,,United States,,45,,
PED,Pedevco Corp. Common Stock,$1.21,0.00,0.00%,103410407.00,United States,,586821,,
PHGE,BiomX Inc. COmmon Stock,$1.72,0.06,3.614%,49159714.00,,2019,25299,Health Care,Biotechnology: Pharmaceutical Preparations
PLAG,Planet Green Holdings Corp. Common Stock,$0.9216,0.0365,4.124%,39243507.00,China,,120021,,
PLG,Platinum Group Metals Ltd. Ordinary Shares (Canada),$1.53,0.02,1.325%,123253738.00,Canada,,417459,,
PLM,Polymet Mining Corporation Ordinary Shares (Canada),$2.56,0.06,2.40%,258245939.00,Canada,,74920,,
PLX,Protalix BioTherapeutics Inc. (DE) Common Stock,$1.03,0.1444,16.305%,46923346.00,Israel,,975658,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
PLYM^A,Plymouth Industrial REIT Inc. 7.50% Series A Cumulative Redeemable Preferred Stock,$26.60,0.30,1.141%,,United States,,1700,,
PRK,Park National Corporation Common Stock,$133.31,2.11,1.608%,2162229944.00,United States,,32052,Finance,Major Banks
PTN,Palatin Technologies Inc. Common Stock,$0.4219,0.0149,3.661%,97604571.00,United States,,628380,Health Care,Biotechnology: Pharmaceutical Preparations
PW,Power REIT (MD) Common Stock,$63.44,1.99,3.238%,210775150.00,United States,,42467,Consumer Services,Real Estate Investment Trusts
PW^A,Power REIT 7.75% Series A Cumulative Perpetual Preferred Stock,$26.33,0.13,0.496%,,United States,,390,,
PZG,Paramount Gold Nevada Corp. Common Stock,$0.67,-0.0044,-0.652%,27151851.00,United States,2015,47411,Basic Industries,Precious Metals
RCG,RENN Fund Inc Common Stock,$2.44,0.20,8.929%,14522773.00,United States,,102232,Finance,Investment Managers
RCOR,Renovacor Inc. Common Stock,$6.50,-0.04,-0.612%,112164273.00,,2020,2502,Health Care,Biotechnology: Pharmaceutical Preparations
REI,Ring Energy Inc. Common Stock,$2.89,0.27,10.305%,287960068.00,United States,,4898006,Energy,Oil & Gas Production
REPX,Riley Exploration Permian Inc. Common Stock,$26.80,1.53,6.055%,532009802.00,United States,,74088,Energy,Oil & Gas Production
RHE,Regional Health Properties Inc. Common Stock,$3.22,0.08,2.548%,5714228.00,,2017,7911,Health Care,Hospital/Nursing Management
RHE^A,Regional Health Properties Inc. 10.875% Series A Cumulative Redeemable Preferred Stock,$4.47,-0.03,-0.667%,,,,403,,
RLGT,Radiant Logistics Inc. Common Stock,$5.99,0.07,1.182%,297854936.00,United States,,178771,Transportation,Oil Refining/Marketing
RMED,Ra Medical Systems Inc. Common Stock,$0.3599,-0.3436,-48.842%,2530012.00,,2018,31828246,Health Care,Medical/Dental Instruments
RVP,Retractable Technologies Inc. Common Stock,$5.15,0.09,1.779%,173886057.00,United States,,84669,Health Care,Medical/Dental Instruments
SACC,Sachem Capital Corp. 6.875% Notes due 2024,$25.48,0.1405,0.554%,0.00,United States,2019,10126,Consumer Services,Real Estate Investment Trusts
SACH,Sachem Capital Corp. Common Shares,$5.40,0.00,0.00%,171158297.00,United States,2017,169287,Consumer Services,Real Estate Investment Trusts
SACH^A,Sachem Capital Corp. 7.75% Series A Cumulative Redeemable Preferred Stock,$25.37,-0.02,-0.079%,,United States,,3667,,
SBEV,Splash Beverage Group Inc. (NV) Common Stock,$3.98,0.21,5.57%,129822565.00,,2021,814860,Consumer Non-Durables,Beverages (Production/Distribution)
SCCB,Sachem Capital Corp. 7.125% Notes due 2024,$25.2747,-0.0753,-0.297%,0.00,United States,2019,2016,Consumer Services,Real Estate Investment Trusts
SCCC,Sachem Capital Corp. 7.75% Notes due 2025,$25.67,-0.0199,-0.077%,0.00,United States,2020,2786,Consumer Services,Real Estate Investment Trusts
SCCD,Sachem Capital Corp. 6.00% Notes due 2026,$25.3257,-0.0743,-0.293%,0.00,United States,,4057,Consumer Services,Real Estate Investment Trusts
SDPI,Superior Drilling Products Inc. Common Stock,$0.80,0.0409,5.388%,22535269.00,,2014,149256,Energy,Metal Fabrications
SEB,Seaboard Corporation Common Stock,$3831.55,-60.86,-1.564%,4447582777.00,United States,1996,444,,
SENS,Senseonics Holdings Inc. Common Stock,$3.35,0.33,10.927%,1494041948.00,United States,,17541750,Health Care,Medical Specialities
SIF,SIFCO Industries Inc. Common Stock,$6.27,0.27,4.50%,37726402.00,United States,,3108,Capital Goods,Office Equipment/Supplies/Services
SILV,SilverCrest Metals Inc. Common Shares,$7.37,0.06,0.821%,1069744917.00,,2018,324248,Capital Goods,Industrial Machinery/Components
SIM,Grupo Simec S.A.B. de C.V. American Depositary Shares,$25.60,0.25,0.986%,3949051494.00,Mexico,1993,6750,Basic Industries,Aluminum
SKYH,Sky Harbour Group Corporation Class A Common Stock,$5.70,-0.34,-5.629%,364597034.00,,,29381,Capital Goods,Military/Government/Technical
SLI,Standard Lithium Ltd. Common Shares,$6.27,0.98,18.526%,1009640651.00,,2021,8639300,,
SMTS,Sierra Metals Inc. Common Stock,$1.23,0.01,0.82%,200982000.00,,,173023,,
SNMP,Evolve Transition Infrastructure LP Common Stock,$0.459,0.0113,2.524%,52401836.00,United States,,661037,Energy,Oil & Gas Production
SSY,SunLink Health Systems Inc. Common Stock,$1.48,-0.02,-1.333%,10292143.00,United States,,24370,Health Care,Medical/Nursing Services
STXS,Stereotaxis Inc. Common Stock,$5.15,0.13,2.59%,384092346.00,United States,,122269,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
SVM,Silvercorp Metals Inc. Common Shares,$3.23,0.05,1.572%,570239836.00,,,787794,,
SVT,Servotronics Inc. Common Stock,$14.15,0.55,4.044%,35257088.00,United States,,4600,Consumer Durables,Metal Fabrications
SYN,Synthetic Biologics Inc. Common Stock,$0.2371,0.004,1.716%,31307286.00,United States,,582097,Health Care,Biotechnology: Pharmaceutical Preparations
TELL,Tellurian Inc. Common Stock,$2.38,0.12,5.31%,1140032048.00,United States,,10626751,Energy,Oil & Gas Production
TELZ,Tellurian Inc. 8.25% Senior Notes due 2028,$22.12,0.22,1.005%,0.00,United States,,2692,,
TGB,Taseko Mines Ltd. Common Stock,$1.88,0.02,1.075%,533837639.00,Canada,,1184139,,
THM,International Tower Hill Mines Ltd. Ordinary Shares (Canada),$0.71,0.02,2.899%,138384811.00,Canada,,53993,,
TKAT,Takung Art Co. Ltd. Common Stock,$2.98,0.18,6.429%,41592912.00,,,638255,Consumer Services,Catalog/Specialty Distribution
TMBR,Timber Pharmaceuticals Inc. Common Stock,$0.3484,0.0072,2.11%,22226586.00,United States,2015,306941,Consumer Durables,Specialty Chemicals
TMP,Tompkins Financial Corporation Common Stock,$80.07,0.37,0.464%,1166796214.00,United States,,18875,Finance,Major Banks
TMQ,Trilogy Metals Inc. Common Stock,$1.47,-0.04,-2.649%,212343683.00,Canada,,92326,,
TPHS,Trinity Place Holdings Inc. Common Stock,$1.79,-0.02,-1.105%,65694317.00,,,2598,Consumer Services,Real Estate
TRT,Trio-Tech International Common Stock,$7.21,0.36,5.255%,28480798.00,United States,,79672,Technology,Industrial Machinery/Components
TRX,Tanzanian Gold Corporation Common Stock,$0.3654,0.0045,1.247%,100117796.00,Canada,,967345,,
UAMY,United States Antimony Corporation Common Stock,$0.4315,0.0173,4.177%,45789850.00,United States,,176677,,
UAVS,AgEagle Aerial Systems Inc. Common Stock,$1.12,0.03,2.752%,86539482.00,United States,,948089,,
UEC,Uranium Energy Corp. Common Stock,$2.70,0.15,5.882%,749667023.00,Canada,,11001013,Basic Industries,Other Metals and Minerals
UFAB,Unique Fabricating Inc. Common Stock,$1.995,-0.015,-0.746%,23407628.00,United States,2015,9479,Capital Goods,Auto Parts:O.E.M.
URG,Ur Energy Inc Common Shares (Canada),$1.21,0.07,6.14%,261376365.00,Canada,,5849962,,
USAS,Americas Gold and Silver Corporation Common Shares no par value,$0.8414,0.0614,7.872%,138315271.00,,2017,3797882,,
UTG,Reaves Utility Income Fund Common Shares of Beneficial Interest,$33.32,-0.14,-0.418%,2172835984.00,United States,2004,137333,Finance,Investment Managers
UUU,Universal Security Instruments Inc. Common Stock,$2.64,0.05,1.931%,6106022.00,United States,,2870,Miscellaneous,Diversified Manufacture
UUUU,Energy Fuels Inc Ordinary Shares (Canada),$6.38,0.22,3.571%,996952830.00,,,2697763,,
VCF,Delaware Investments Colorado Municipal Income Fund Inc  Common Stock,$13.80,-0.10,-0.719%,66751980.00,United States,1993,11995,Finance,Finance/Investors Services
VFL,Delaware Investments National Municipal Income Fund Common Stock,$13.35,-0.04,-0.299%,60454714.00,United States,1993,2998,Finance,Finance/Investors Services
VGZ,Vista Gold Corp Common Stock,$0.6814,-0.005,-0.728%,79852743.00,United States,,31497,,
VHAQ,Viveon Health Acquisition Corp. Common Stock,$10.07,0.01,0.099%,253323438.00,,2021,304,,
VINE,Fresh Vine Wine Inc. Common Stock,$4.65,0.37,8.645%,56730060.00,,2021,104238,Consumer Non-Durables,Beverages (Production/Distribution)
VKI,Invesco Advantage Municipal Income Trust II Common Shares of Beneficial Interest (DE),$11.06,-0.08,-0.718%,490970554.00,United States,,98537,Finance,Finance Companies
VMM,Delaware Investments Minnesota Municipal Income Fund II Inc. Common Stock,$13.67,-0.09,-0.654%,157273008.00,United States,1993,46585,Finance,Finance/Investors Services
VNRX,VolitionRX Limited Common Stock,$2.73,0.20,7.905%,146153720.00,Singapore,2015,65592,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
VOLT,Volt Information Sciences Inc. Common Stock,$3.12,0.03,0.971%,68949648.00,United States,,53607,Technology,Diversified Commercial Services
VZLA,Vizsla Silver Corp. Common Shares,$1.8299,-0.0001,-0.005%,270644673.00,,2022,67866,,
WBEV,Winc Inc. Common Stock,$5.27,-0.49,-8.507%,69348826.00,,2021,26125,Consumer Non-Durables,Beverages (Production/Distribution)
WLMS,Williams Industrial Services Group Inc. Common Stock,$1.76,-0.09,-4.865%,45611284.00,,2021,294247,Capital Goods,Engineering & Construction
WRN,Western Copper and Gold Corporation Common Stock,$1.47,-0.02,-1.342%,222596404.00,Canada,2011,155170,,
WTT,Wireless Telecom Group  Inc. Common Stock,$1.80,-0.02,-1.099%,40358129.00,United States,,2341,Capital Goods,Telecommunications Equipment
WWR,Westwater Resources Inc. Common Stock,$1.96,0.01,0.513%,69135595.00,United States,,572930,Basic Industries,Other Metals and Minerals
WYY,WidePoint Corporation Common Stock,$3.90,-0.02,-0.51%,34470719.00,United States,,21152,Technology,EDP Services
XPL,Solitario Zinc Corp. Common Stock,$0.49,0.0227,4.858%,30397836.00,United States,,204046,Basic Industries,Metal Mining
XTNT,Xtant Medical Holdings Inc. Common Stock,$0.63,0.0177,2.891%,54681590.00,United States,,28848,Health Care,Medical Specialities
YCBD,cbdMD Inc. Common Stock,$0.98,-0.02,-2.00%,57381911.00,United States,2017,456653,Health Care,Biotechnology: Pharmaceutical Preparations
YCBD^A,cbdMD Inc. 8.0% Series A Cumulative Convertible Preferred Stock,$5.90,-0.09,-1.503%,,United States,,3267,,
ZDGE,Zedge Inc. Class B Common Stock ,$7.52,0.34,4.735%,108183201.00,,2016,45005,Technology,Internet and Information Services
ZOM,Zomedica Corp. Common Shares,$0.309,0.0167,5.713%,302787452.00,United States,2017,10986866,,
